#OTU_ID,taxonomy,Order,EB01,T1-A1,T1-A2,T1-A3,T2-A1,T2-A2,T2-A3,S1-A1,S1-A2,S1-A3,S2-A1,S2-A2,S2-A3,S3-A1,S3-A2,S3-A3,S4-A1,S4-A2,S4-A3,S5-A1,S5-A2,S5-A3,EB02,S1-B1,S1-B2,S1-B3,S2-B1,S2-B2,S2-B3,S3-B1,S3-B2,S3-B3,S4-B1,S4-B2,S4-B3,S5-B1,S5-B2,S5-B3,EB03,T1-B1,T1-B2,T1-B3,T2-B1,T2-B2,T2-B3,EB04,NC01,NC02,NC03,NC04,NC05,NC06,NC07,PC01,PC02,PC03,PC04,PC05,PC06,PC07
Phthitia_empirica,d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Sphaeroceridae; g__Phthitia; s__Phthitia_empirica,Diptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Platycheirus_clypeatus,d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Syrphidae; g__Platycheirus; s__Platycheirus_clypeatus,Diptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baetis_fuscatus,d__Eukaryota; p__Arthropoda; c__Insecta; o__Ephemeroptera; f__Baetidae; g__Baetis; s__Baetis_fuscatus,Ephemeroptera,0,0,0,0,0,0,0,0,0,0,19,0,0,0,6,0,45,43,6,95,73,28,0,0,4,0,0,0,0,45,23,0,0,0,6,51,582,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baetis_rhodani,d__Eukaryota; p__Arthropoda; c__Insecta; o__Ephemeroptera; f__Baetidae; g__Baetis; s__Baetis_rhodani,Ephemeroptera,0,0,0,0,0,0,0,0,228,0,0,416,149,1257,553,301,0,841,3047,0,0,141,0,0,0,0,0,0,362,19,930,822,684,208,369,0,283,115,0,0,31,236,92,4,0,0,0,3,0,7,0,0,0,3,15,0,3,0,0,0
Centroptilum_luteolum,d__Eukaryota; p__Arthropoda; c__Insecta; o__Ephemeroptera; f__Baetidae; g__Centroptilum; s__Centroptilum_luteolum,Ephemeroptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigrobaetis_niger,d__Eukaryota; p__Arthropoda; c__Insecta; o__Ephemeroptera; f__Baetidae; g__Nigrobaetis; s__Nigrobaetis_niger,Ephemeroptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Takobia_muticus,d__Eukaryota; p__Arthropoda; c__Insecta; o__Ephemeroptera; f__Baetidae; g__Takobia; s__Takobia_muticus,Ephemeroptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caenis_horaria,d__Eukaryota; p__Arthropoda; c__Insecta; o__Ephemeroptera; f__Caenidae; g__Caenis; s__Caenis_horaria,Ephemeroptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caenis_pusilla,d__Eukaryota; p__Arthropoda; c__Insecta; o__Ephemeroptera; f__Caenidae; g__Caenis; s__Caenis_pusilla,Ephemeroptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,438,1149,194,0,0,0,0,0,0,0,0,0,0,267,0,32,1397,3208,2071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serratella_ignita,d__Eukaryota; p__Arthropoda; c__Insecta; o__Ephemeroptera; f__Ephemerellidae; g__Serratella; s__Serratella_ignita,Ephemeroptera,0,0,0,0,0,0,0,0,14,0,0,0,0,121,138,76,56,0,0,666,1325,195,0,0,0,0,0,0,0,9,99,68,227,78,80,970,2026,1622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
