#OTU_ID	LIB1-NEG	LIB1-POS	LIB2-NEG	LIB2-POS	LIB3-NEG	LIB3-POS	LIB4-NEG	LIB4-POS	LIB5-NEG	LIB5-POS	NE01	NE02	NE03	NE04	NE05	NE06	NE07	NE09	NE10	NE100	NE101	NE11	NE12	NE13	NE14	NE15	NE16	NE17	NE18	NE19	NE20	NE21	NE22	NE23	NE24	NE25	NE26	NE27	NE28	NE29	NE30	NE31	NE32	NE33	NE34	NE35	NE36	NE37	NE38	NE39	NE40	NE41	NE42	NE43	NE44	NE45	NE46	NE47	NE48	NE49	NE50	NE51	NE52	NE53	NE54	NE55	NE56	NE57	NE58	NE59	NE61	NE62	NE63-1-1	NE63-1-2	NE63-2-1	NE63-2-2	NE64	NE66	NE67	NE68	NE69	NE70	NE71	NE72	NE73	NE74	NE75	NE76	NE77	NE78	NE79	NE80	NE81	NE82	NE83	NE84	NE85	NE86	NE87	NE88	NE89	NE90	NE91	NE92	NE93	NE94	NE95	NE96	NE97	NE98	NE99	taxonomy
Piguetiella_blanci	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Annelida; c__Clitellata; o__Haplotaxida; f__Naididae; g__Piguetiella; s__Piguetiella_blanci
Potamothrix_bavaricus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Annelida; c__Clitellata; o__Haplotaxida; f__Naididae; g__Potamothrix; s__Potamothrix_bavaricus
Potamothrix_hammoniensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Annelida; c__Clitellata; o__Haplotaxida; f__Naididae; g__Potamothrix; s__Potamothrix_hammoniensis
Psammoryctides_barbatus	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	22	15	0	0	4	67	0	8	13	209	0	0	0	0	0	7	0	3	6	55	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	3	0	0	0	0	60	0	0	5	0	33	0	d__Eukaryota; p__Annelida; c__Clitellata; o__Haplotaxida; f__Naididae; g__Psammoryctides; s__Psammoryctides_barbatus
Rhyacodrilus_coccineus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	514	50	0	67	18	0	0	0	0	108	0	234	12	0	7	61	0	0	0	0	811	129	0	0	0	24	0	0	0	217	0	0	0	0	0	33	0	0	0	0	0	0	40	20	0	0	0	27	0	0	76	37	0	0	9	0	0	0	0	57	0	0	0	0	0	0	0	0	d__Eukaryota; p__Annelida; c__Clitellata; o__Haplotaxida; f__Naididae; g__Rhyacodrilus; s__Rhyacodrilus_coccineus
Rhyacodrilus_falciformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Annelida; c__Clitellata; o__Haplotaxida; f__Naididae; g__Rhyacodrilus; s__Rhyacodrilus_falciformis
Slavina_appendiculata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	d__Eukaryota; p__Annelida; c__Clitellata; o__Haplotaxida; f__Naididae; g__Slavina; s__Slavina_appendiculata
Spirosperma_ferox	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Annelida; c__Clitellata; o__Haplotaxida; f__Naididae; g__Spirosperma; s__Spirosperma_ferox
Stylaria_lacustris	0	0	0	0	0	0	0	0	0	0	0	3	0	0	29	0	29	0	0	0	0	7	3	4	0	0	11	22	12	3	41	106	64	0	12	0	260	106	32	23	18	35	0	18	31	39	15	25	3	64	0	37	0	67	0	3	20	95	6	173	32	0	99	82	64	19	7	6	3	28	6	8	61	22	0	0	0	228	16	0	0	0	172	38	101	57	0	27	11	0	3	16	3	14	20	6	0	3	29	47	0	61	78	0	0	0	0	4	25	0	0	d__Eukaryota; p__Annelida; c__Clitellata; o__Haplotaxida; f__Naididae; g__Stylaria; s__Stylaria_lacustris
Tubifex_tubifex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	6	0	0	d__Eukaryota; p__Annelida; c__Clitellata; o__Haplotaxida; f__Naididae; g__Tubifex; s__Tubifex_tubifex
Lumbriculus_variegatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	6	6	0	3	0	0	0	0	5	3	0	14	8	13	0	0	49	13	0	0	0	6	0	0	0	0	0	3	0	0	18	0	0	0	9	3	38	0	19	0	16	0	0	0	0	0	0	0	0	53	19	0	0	0	0	117	0	17	11	0	0	0	0	102	0	0	0	0	0	0	0	0	0	6	69	0	0	0	0	0	0	0	0	d__Eukaryota; p__Annelida; c__Clitellata; o__Lumbriculida; f__Lumbriculidae; g__Lumbriculus; s__Lumbriculus_variegatus
Stylodrilus_heringianus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Annelida; c__Clitellata; o__Lumbriculida; f__Lumbriculidae; g__Stylodrilus; s__Stylodrilus_heringianus
